"billid","billname","committeename"
323,"BILLS-115hr3721ih","Committee on Small Business and Entrepreneurship"
324,"BILLS-115hr7031ih","Committee on Ways and Means"
324,"BILLS-115hr7031ih","Rules"
325,"BILLS-115hr1570ih","Committee on Science, Space, and Technology"
326,"BILLS-115hr1318ih","Committee on Foreign Affairs"
327,"BILLS-115hr6612ih","Committee on Energy and Commerce"
328,"BILLS-115hr7262ih","Committee on the Judiciary"
329,"BILLS-115s2829is","Committee on Financial Services"
329,"BILLS-115s2829is","Ways and Means"
329,"BILLS-115s2829is","the Judiciary"
329,"BILLS-115s2829is","Transportation and Infrastructure"
329,"BILLS-115s2829is","Education and the Workforce"
330,"BILLS-115s827is","Committee on Banking, Housing, and Urban Affairs"
331,"BILLS-115s1312is","Committee on the Judiciary"
332,"BILLS-115hres1042ih","Committee on the Judiciary"
333,"BILLS-115hr1906ih","Committee on Oversight and Government Reform"
334,"BILLS-115s1112is","Committee on the Judiciary"
334,"BILLS-115s1112is","Agriculture"
334,"BILLS-115s1112is","Ways and Means"
335,"BILLS-115hr5146ih","Committee on Health, Education, Labor, and Pensions"
336,"BILLS-115s3503is","Committee on Education and the Workforce"
337,"BILLS-115s2960is","Committee on Finance"
338,"BILLS-115hr391ih","Committee on Health, Education, Labor, and Pensions"
339,"BILLS-115s3234is","Committee on the Judiciary"
339,"BILLS-115s3234is","Foreign Affairs"
340,"BILLS-115hr3493ih","Committee on Health, Education, Labor, and Pensions"
341,"BILLS-115s3543is","Committee on Energy and Commerce"
342,"BILLS-115hr3944ih","Committee on the Judiciary"
343,"BILLS-115hr4918ih","Committee on the Judiciary"
344,"BILLS-115s1918is","Committee on the Judiciary"
344,"BILLS-115s1918is","Homeland Security"
345,"BILLS-115hr4307ih","Committee on the Judiciary"
346,"BILLS-115s1588is","Committee on Education and the Workforce"
347,"BILLS-115hr7127ih","Committee on the Judiciary"
348,"BILLS-115s1504is","Committee on House Administration"
348,"BILLS-115s1504is","the Judiciary"
349,"BILLS-115s1630is","Committee on the Judiciary"
350,"BILLS-115hr2473eh","Committee on Health, Education, Labor, and Pensions"
351,"BILLS-115s2148is","nan"
352,"BILLS-115hr3381ih","Committee on the Judiciary"
353,"BILLS-115hr2859ih","Committee on Oversight and Government Reform"
354,"BILLS-115hr2473rfs","Committee on Education and the Workforce"
355,"BILLS-115s1804is","Committee on the Judiciary"
356,"BILLS-115s362is","Committee on Finance"
357,"BILLS-115hr676ih","Committee on Homeland Security and Governmental Affairs"
358,"BILLS-115hr485ih","Committee on Energy and Commerce"
358,"BILLS-115hr485ih","Ways and Means"
358,"BILLS-115hr485ih","Natural Resources"
359,"BILLS-115hr5965ih","Committee on Financial Services"
360,"BILLS-115hr2725ih","Committee on Energy and Commerce"
360,"BILLS-115hr2725ih","Oversight and Government Reform"
360,"BILLS-115hr2725ih","Armed Services"
360,"BILLS-115hr2725ih","Veterans Affairs"
361,"BILLS-115hres246ih","Committee on Education and the Workforce"
362,"BILLS-115hr7142ih","Committee on Foreign Affairs"
363,"BILLS-115hr4115ih","Committee on Education and the Workforce"
364,"BILLS-115hr5374ih","Committee on Education and the Workforce"
364,"BILLS-115hr5374ih","the Judiciary"
365,"BILLS-115s636is","Committee on Education and the Workforce"
366,"BILLS-115hr2961ih","Committee on Health, Education, Labor, and Pensions"
367,"BILLS-115hr6677ih","Committee on Education and the Workforce"
368,"BILLS-115hr6669ih","Committee on the Judiciary"
369,"BILLS-115s2584is","Committee on the Judiciary"
370,"BILLS-115hr1921ih","Committee on Health, Education, Labor, and Pensions"
371,"BILLS-115s2986is","Committee on Education and the Workforce"
372,"BILLS-115hr4957ih","Committee on Health, Education, Labor, and Pensions"
373,"BILLS-115s2387is","Committee on Energy and Commerce"
373,"BILLS-115s2387is","Ways and Means"
374,"BILLS-115s3588is","Committee on Finance"
375,"BILLS-115hr1924ih","Committee on the Judiciary"
376,"BILLS-115hr1516ih","Committee on Education and the Workforce"
377,"BILLS-115hr895ih","Committee on Education and the Workforce"
377,"BILLS-115hr895ih","House Administration"
377,"BILLS-115hr895ih","Oversight and Government Reform"
378,"BILLS-115s185is","Committee on Ways and Means"
378,"BILLS-115s185is","Education and the Workforce"
379,"BILLS-115s148is","Committee on Health, Education, Labor, and Pensions"
380,"BILLS-115s2159is","Committee on Finance"
