,Name,Link,OfficialTitle,BillStage,Date,LegisType,CommitteeName,SponsorLastName,SponsorFirstName,SponsorState,CoSponsorLastName,CoSponsorFirstName,CoSponsorState
100,BILLS-115hres975ih,https://www.govinfo.gov/content/pkg/BILLS-115hres975ih/xml/BILLS-115hres975ih.xml,,,,,,,,,,,
101,BILLS-115hr6637ih,https://www.govinfo.gov/content/pkg/BILLS-115hr6637ih/xml/BILLS-115hr6637ih.xml,,,,,,,,,,,
102,BILLS-115s3651is,https://www.govinfo.gov/content/pkg/BILLS-115s3651is/xml/BILLS-115s3651is.xml,,,,,,,,,,,
103,BILLS-115s2658is,https://www.govinfo.gov/content/pkg/BILLS-115s2658is/xml/BILLS-115s2658is.xml,,,,,,,,,,,
104,BILLS-115hr6279ih,https://www.govinfo.gov/content/pkg/BILLS-115hr6279ih/xml/BILLS-115hr6279ih.xml,,,,,,,,,,,
105,BILLS-115s2462is,https://www.govinfo.gov/content/pkg/BILLS-115s2462is/xml/BILLS-115s2462is.xml,,,,,,,,,,,
106,BILLS-115hr3517ih,https://www.govinfo.gov/content/pkg/BILLS-115hr3517ih/xml/BILLS-115hr3517ih.xml,,,,,,,,,,,
107,BILLS-115hr1927ih,https://www.govinfo.gov/content/pkg/BILLS-115hr1927ih/xml/BILLS-115hr1927ih.xml,,,,,,,,,,,
108,BILLS-115hres656ih,https://www.govinfo.gov/content/pkg/BILLS-115hres656ih/xml/BILLS-115hres656ih.xml,,,,,,,,,,,
109,BILLS-115hres94ih,https://www.govinfo.gov/content/pkg/BILLS-115hres94ih/xml/BILLS-115hres94ih.xml,,,,,,,,,,,
110,BILLS-115hres1126ih,https://www.govinfo.gov/content/pkg/BILLS-115hres1126ih/xml/BILLS-115hres1126ih.xml,,,,,,,,,,,
111,BILLS-115hres948ih,https://www.govinfo.gov/content/pkg/BILLS-115hres948ih/xml/BILLS-115hres948ih.xml,,,,,,,,,,,
112,BILLS-115sres547ats,https://www.govinfo.gov/content/pkg/BILLS-115sres547ats/xml/BILLS-115sres547ats.xml,,,,,,,,,,,
113,BILLS-115s3178es,https://www.govinfo.gov/content/pkg/BILLS-115s3178es/xml/BILLS-115s3178es.xml,,,,,,,,,,,
114,BILLS-115hr6495ih,https://www.govinfo.gov/content/pkg/BILLS-115hr6495ih/xml/BILLS-115hr6495ih.xml,,,,,,,,,,,
115,BILLS-115sres144is,https://www.govinfo.gov/content/pkg/BILLS-115sres144is/xml/BILLS-115sres144is.xml,,,,,,,,,,,
116,BILLS-115s3039is,https://www.govinfo.gov/content/pkg/BILLS-115s3039is/xml/BILLS-115s3039is.xml,,,,,,,,,,,
117,BILLS-115hr735ih,https://www.govinfo.gov/content/pkg/BILLS-115hr735ih/xml/BILLS-115hr735ih.xml,,,,,,,,,,,
118,BILLS-115hr5991ih,https://www.govinfo.gov/content/pkg/BILLS-115hr5991ih/xml/BILLS-115hr5991ih.xml,,,,,,,,,,,
119,BILLS-115s2832is,https://www.govinfo.gov/content/pkg/BILLS-115s2832is/xml/BILLS-115s2832is.xml,,,,,,,,,,,
120,BILLS-115hr1222rs,https://www.govinfo.gov/content/pkg/BILLS-115hr1222rs/xml/BILLS-115hr1222rs.xml,,,,,,,,,,,
121,BILLS-115sres459is,https://www.govinfo.gov/content/pkg/BILLS-115sres459is/xml/BILLS-115sres459is.xml,,,,,,,,,,,
122,BILLS-115sres576is,https://www.govinfo.gov/content/pkg/BILLS-115sres576is/xml/BILLS-115sres576is.xml,,,,,,,,,,,
123,BILLS-115hres386ih,https://www.govinfo.gov/content/pkg/BILLS-115hres386ih/xml/BILLS-115hres386ih.xml,,,,,,,,,,,
124,BILLS-115hr6464ih,https://www.govinfo.gov/content/pkg/BILLS-115hr6464ih/xml/BILLS-115hr6464ih.xml,,,,,,,,,,,
